strategy,model,nrmse_mean,nrmse_median,nrmse_Q1,nrmse_Q3,mase_mean,mase_median,mase_Q1,mase_Q3
fedAvg,gru,28638.561479220738,0.20423636316422905,0.13959338897202284,0.2975511195111432,31873.995354911774,2.2912721601460406,1.850624699982944,2.966102169873305
fedAvg,lstm,35381.57570880225,0.21801186394294564,0.14793517675403267,0.3078996012897176,41404.66708685938,2.491720665978521,1.9940221466301307,3.2429396678316627
fedAvg,transformer,6741.775220721891,0.1716853576696635,0.11848517991994034,0.2548359577062111,10110.725851998486,1.960907531476679,1.4591692777252714,2.755755838858987
fedAvg_diff0,gru,29655.76012596872,0.20842414568293072,0.14294880659754405,0.3010870328192542,32803.92172633504,2.3113324973772507,1.8854017842522017,2.9733332714305893
fedAvg_diff0,lstm,41764.10445463688,0.21468466445680057,0.14593859440386908,0.301893099284918,46571.09159209965,2.4304605578831606,1.934866064095591,3.2016403388063273
fedAvg_diff0,transformer,16296.644173692483,0.18702708592026485,0.12585240527452402,0.26267796795354253,20352.253661497216,1.9256986877220128,1.531512066861414,2.6848500693422035
fedProx,gru,22160.24492424837,0.21338128188423824,0.1459622313574383,0.3069555924979855,26849.59246214962,2.4717261806233153,1.985990244521347,3.1174793538562913
fedProx,lstm,25016.673537061826,0.22252375868165558,0.1539087914002389,0.31906914606053904,30964.384293906183,2.6697556631266055,2.1010146187787297,3.404143524294061
fedProx,transformer,19538.314199479682,0.199246815933217,0.135948438105018,0.2750967718270202,24361.188600025558,2.0747706101578673,1.6297315031258568,2.784520806931681
fedProx_diff,gru,23806.01329308305,0.21588782413736773,0.1482702981998416,0.30992552049951116,28912.202275398668,2.5400378703850883,2.0158188019782504,3.213795586349651
fedProx_diff,lstm,24272.635278581016,0.22105439529363946,0.152366659702244,0.31927169533528305,29882.40594328949,2.6451231663055204,2.0950116673384738,3.341224460552133
fedProx_diff,transformer,23485.652067129435,0.190822656942057,0.13744893497069355,0.2795690562004694,35063.35622945319,2.2511058629928518,1.7256581030342364,3.0800575975969533
fedProx_diff001,gru,24699.63480288094,0.2143229312669811,0.1474966385108655,0.3070356696181343,29951.312575284086,2.4984283164245227,1.989021421191385,3.173265728989095
fedProx_diff001,lstm,24886.292515403442,0.2238154817207592,0.15481837000412438,0.3215469047687539,30708.302477177695,2.685232009214673,2.1207996900247115,3.424957518180342
scaffold_diff,gru,14640.813526704043,0.19715837237514278,0.13212373376727407,0.28315543290828066,17559.123449141076,2.062420433668736,1.708255309439087,2.6784154344126136
scaffold_diff,lstm,21342.67295938769,0.202457001214077,0.13735538856867618,0.29285152456787034,21270.613455683437,2.205747327579439,1.8251966703227247,2.8203296796661492
scaffold_diff001,gru,4709.369615209495,0.19978302619494248,0.1339194915660626,0.2924104062124327,4888.371002369912,2.230782798353867,1.8172306807597618,2.7980046876118054
scaffold_diff001,lstm,13841.905091212202,0.2031399883432185,0.13906730641177448,0.2942034470791094,15207.422817798732,2.2380945414478663,1.8416167715425886,2.8505151916690936
scaffold_lr,gru,12137.0169629088,0.1977523403048522,0.133012302367538,0.2865012439280435,14250.43243032275,2.1313736787968978,1.7536198747949872,2.7227543720247334
scaffold_lr,lstm,22128.562018711724,0.20509189296517588,0.1387025624605536,0.2932799906921992,26481.009482636466,2.231177190845401,1.8321937150912404,2.8416095130548573
